[00:00:00,000] SPEAKER_02: よろしく お願いします
[00:00:02,000] SPEAKER_01: 今 は ど の よう な 仕 事 を さ れて います か?
[00:00:04,000] SPEAKER_02: カ ス タ マ ー サ ク セ ス と して ご 契 約 いただ いた お 客 さん に 導 入 の 準備 と 運 用 の 伴 奏 を さ せて いただ いて いる 役 割 です
[00:00:14,000] SPEAKER_01: その 導 入 さ れて いる 人 は ど の よう な 悩 み が ある んです か?
[00:00:19,160] SPEAKER_02: 落 と し 物 の 管 理 っていう ところ に すご く 時間 が か か って いる です とか お 問 い 合 わ せ、 お 忘 れ 物 の お 問 い 合 わ せ を いただ いた 時 に その 問 い 合 わ せ の 対 応 に 時間 だ った り 工 数 が か か って いる という よう な 課 題 感 が 多 いい です
[00:00:36,000] SPEAKER_01: 今 い ろ んな すごい 大 手 が お 店 の サ ービ ス 導 入 さ れて いる と思います が まだ ス ター ト ア ップ なので その 大 手 が 導 入 する 際 は 結 構 不 安 な 人 が 多 い んですか
[00:00:50,541] SPEAKER_02: も ち ろ ん 不 安 を 最 初 は 抱 えて い ら っ しゃ る お 客 様 も 多 い んです が フ ァ イ ンド の 場 合 は 導 入 いただ いて す で に お 使 いい ただ いて いる お 客 さん がお 客 さん を 紹 介 して く だ さ る ケ ー ス が 多 く て ですね 実 際 に 導 入 いただ いて 価 値 を 感じ て いただ いて その 方 々 が 営 業 という と あれ です けど 一 緒 に 広 めて く だ さ って いる という 形 だ った り する ので その 中 で 使 って いる お 客 さん から こんな ところ が いい よ とか こんな 風 に 使 える よ とか これ が う ま く 使 う 方 法 だ よ みたい な こと を 直接 共 有 いただ く という よう な こと も 多 かった り する ので そう い った 生 の 声 という の を も と に これ から 導 入 さ れる お 客 様 という のは 不 安 を 消 した 状 態 で フ ァ イ ンド を ご 導 入 いただ いて いた り します 導 入 いただ いた 後 も 私 た ち の よう な カ ス タ マ ー サ ク セ ス が き ち んと サ ポ ート さ せて いただ く ので そう い った 面 では 不 安 は ゼ ロ には な って い ない か もし れない です けど 払 拭 でき た 状 態 で 運 用 開始 という 形 にな って います
[00:01:57,000] SPEAKER_01: 導 入 する 時 に 結 構 ボ ト ル ネ ック だ った り とか ど の よう な 苦 労 点 では ない けど 多 分 客 さん は それ ぞ れ だ と思います が ど の よう な ところ が 難 しい ですか ね 
[00:02:10,000] SPEAKER_02: や っぱ り 導 入 の 営 業 の タ イ ミ ング ですか ね や っぱ り 導 入 の タ イ ミ ング で いう と 落 と し 物 って 会 社 さん から する と お 客 様 に 対 して 大 切 な サ ービ ス では ある んです けど も それで お 金 を 生 む わ け では な かった り する ので そ こ に 新 しい シ ス テ ム の 投 資 を する の か とか 今 ある もの を ガ ラ ッ と 買 える の か っていう ところ の 社 内 の 説 得 する みたい な ところ が 結 構 ご 負 担 か か る ケ ー ス が あ った り する よう です あと は 導 入、 広 めて いく という 運 用 の フ ェ ー ズ にな る と 使 って いただ く 方 が 本当 に 多 い シ ス テ ム にな る ので 例えば 鉄 道 さん で いう と 落 と し 物 を 拾 った 駅 員 さん が 使 った り です とか あと は お 問 い 合 わ せ を 受 け た オ ペ レ ー ター さん な の か とか が 使 う よう な シ ス ム い ろ んな 方 が 本当 に 使 う シ ス テ ム にな る ので それ ぞ れ の 立 場 で 新 しい シ ス テ ム に 慣 れて いく という ところ が 結 構 ネ ック にな った り も して います
[00:03:20,907] SPEAKER_01: 先 ほど おっ しゃ って いた お 金 にな って い ない という ので どう やって この よう な 価 値 が ある よ と 説 得 さ れる んです か 
[00:03:33,000] SPEAKER_02: 各 社 さん お 伺 い して いる のは や っぱ り この フ ァ イ ンド シ ス テ ム を 入 れる こと に よ って 今 まで の 業 務 が ど れ く らい 工 数 削 減 でき る か それ に よ って 何 人 分 の 費 用 が 浮 く の か みたい な お 話 です とか ど ん ど ん 労 働 人 口 が 減 って いく 中 で そ こ って 省 力 化 して い かな き い け ない よね っていう よう な 未 来 の 話 とか お 客 様 に に 対 する サ ービ ス の 品 質 向 上 っていう 切 り 口 で 社 内 で お 話 し さ れる ケ ー ス が 多 い よう です
[00:04:06,000] SPEAKER_01: 結 構 最近 入 社 して いる
[00:04:10,000] SPEAKER_02: そうですね  私 は
[00:04:12,000] SPEAKER_01: どう して ここを 働 き たい と思 って いた の
[00:04:15,000] SPEAKER_02: ありがとうございます 6 月 に 入 社 を した んです けど も や っぱ り 落 と し 物 の 管 理 とか 保 管 の 課 題 っていう ところ な かな か 多 分 世 の 中 的 には 火 の 目 を 浴 び づ らい 部分 だ と思 うん です けど すご く 事 業 者 さん 側 で いう と 丁 寧 に 対 応 して ちゃん と 落 と し 主 に 戻 す っていう よう な すご く ご 苦 労 さ れて い ら っ しゃ る っていう そう いう 課 題 を ちゃん と 解 決 フ ァ イ ンド シ ス テ ム を 使 って 解 決 して いく という よう な そう いう 会 社 の 方 向 性 です とか あと は 私 は カ ス タ マ ー サ ク セ ス なので お 客 さん が 価 値 を 感じ て く れて お 客 さん を 呼 んで く れる よう な プ ラ ス サ ム という ふ う に 言 って いる んです けど 誰 も が 関 わ って く だ さ った 誰 も が 幸 せ にな る 事 業 という ところ に すご く 魅 力 と や り が い を 感じ る な という ふ う に 思 った ので 出 会 って 割 と す ぐ ここ だ という ふ う に 決 め ました
[00:05:15,000] SPEAKER_01: ありがとうございます
